Timestamp,Filename,Average_Azi_Speed
2025-01-03 19:01:00,pos@1735948860.000.h5,4.98422
2025-01-03 19:02:00,pos@1735948920.000.h5,4.977686666666667
2025-01-03 19:03:00,pos@1735948980.000.h5,4.991619999999999
2025-01-03 19:04:00,pos@1735949040.000.h5,4.989046666666667
2025-01-03 19:05:00,pos@1735949100.000.h5,4.989293333333333
2025-01-03 19:06:00,pos@1735949160.000.h5,4.9792266666666665
2025-01-03 19:07:00,pos@1735949220.000.h5,3.6516933333333332
2025-01-03 19:08:00,pos@1735949280.000.h5,3.8366066666666665
2025-01-03 19:09:00,pos@1735949340.000.h5,4.9891266666666665
2025-01-03 19:10:00,pos@1735949400.000.h5,4.989133333333332
2025-01-03 19:11:00,pos@1735949460.000.h5,4.991913333333334
2025-01-03 19:12:00,pos@1735949520.000.h5,4.98994
2025-01-03 19:13:00,pos@1735949580.000.h5,5.000413333333333
2025-01-03 19:14:00,pos@1735949640.000.h5,4.992426666666666
2025-01-03 19:15:00,pos@1735949700.000.h5,2.495546666666667
2025-01-03 19:16:00,pos@1735949760.000.h5,4.99922
2025-01-03 19:17:00,pos@1735949820.000.h5,4.9948266666666665
2025-01-03 19:18:00,pos@1735949880.000.h5,4.993506666666667
2025-01-03 19:19:00,pos@1735949940.000.h5,4.990246666666667
2025-01-03 19:20:00,pos@1735950000.000.h5,4.990653333333333
2025-01-03 19:21:00,pos@1735950060.000.h5,4.9899466666666665
2025-01-03 19:22:00,pos@1735950120.000.h5,4.998106666666667
2025-01-03 19:23:00,pos@1735950180.000.h5,2.4935666666666667
2025-01-03 19:24:00,pos@1735950240.000.h5,4.986326666666667
2025-01-03 19:25:00,pos@1735950300.000.h5,4.9887533333333325
2025-01-03 19:26:00,pos@1735950360.000.h5,4.99806
2025-01-03 19:27:00,pos@1735950420.000.h5,4.994493333333334
2025-01-03 19:28:00,pos@1735950480.000.h5,4.991986666666667
2025-01-03 19:29:00,pos@1735950540.000.h5,4.988986666666667
2025-01-03 19:30:00,pos@1735950600.000.h5,4.151433333333333
2025-01-03 19:31:00,pos@1735950660.000.h5,3.3343266666666667
2025-01-03 19:32:00,pos@1735950720.000.h5,4.985413333333334
2025-01-03 19:33:00,pos@1735950780.000.h5,4.988173333333333
2025-01-03 19:34:00,pos@1735950840.000.h5,4.98306
2025-01-03 19:35:00,pos@1735950900.000.h5,4.999233333333334
2025-01-03 19:36:00,pos@1735950960.000.h5,4.998460000000001
2025-01-03 19:37:00,pos@1735951020.000.h5,4.98906
2025-01-03 19:38:00,pos@1735951080.000.h5,2.6643133333333333
2025-01-03 19:39:00,pos@1735951140.000.h5,4.82454
2025-01-03 19:40:00,pos@1735951200.000.h5,4.992613333333334
2025-01-03 19:41:00,pos@1735951260.000.h5,4.989373333333333
2025-01-03 19:42:00,pos@1735951320.000.h5,4.9824866666666665
2025-01-03 19:43:00,pos@1735951380.000.h5,4.991993333333333
2025-01-03 19:44:00,pos@1735951440.000.h5,4.987873333333333
2025-01-03 19:45:00,pos@1735951500.000.h5,4.998893333333333
