Timestamp,Filename,Average_Azi_Speed
2025-01-14 19:01:00,pos@1736899260.000.h5,4.9979933333333335
2025-01-14 19:02:00,pos@1736899320.000.h5,4.992453333333334
2025-01-14 19:03:00,pos@1736899380.000.h5,4.993553333333333
2025-01-14 19:04:00,pos@1736899440.000.h5,4.990733333333334
2025-01-14 19:05:00,pos@1736899500.000.h5,4.994013333333333
2025-01-14 19:06:00,pos@1736899560.000.h5,4.995573333333333
2025-01-14 19:07:00,pos@1736899620.000.h5,3.6089466666666667
2025-01-14 19:08:00,pos@1736899680.000.h5,3.8800733333333337
2025-01-14 19:09:00,pos@1736899740.000.h5,4.993366666666666
2025-01-14 19:10:00,pos@1736899800.000.h5,4.988806666666667
2025-01-14 19:11:00,pos@1736899860.000.h5,4.990493333333333
2025-01-14 19:12:00,pos@1736899920.000.h5,4.998753333333333
2025-01-14 19:13:00,pos@1736899980.000.h5,5.0006466666666665
2025-01-14 19:14:00,pos@1736900040.000.h5,4.998806666666667
2025-01-14 19:15:00,pos@1736900100.000.h5,2.4905733333333333
2025-01-14 19:16:00,pos@1736900160.000.h5,4.986366666666667
2025-01-14 19:17:00,pos@1736900220.000.h5,4.992966666666667
2025-01-14 19:18:00,pos@1736900280.000.h5,4.997773333333333
2025-01-14 19:19:00,pos@1736900340.000.h5,4.984313333333334
2025-01-14 19:20:00,pos@1736900400.000.h5,4.991759999999999
2025-01-14 19:21:00,pos@1736900460.000.h5,4.993106666666667
2025-01-14 19:22:00,pos@1736900520.000.h5,4.996746666666667
2025-01-14 19:23:00,pos@1736900580.000.h5,2.49434
2025-01-14 19:24:00,pos@1736900640.000.h5,4.977460000000001
2025-01-14 19:25:00,pos@1736900700.000.h5,4.9953
2025-01-14 19:26:00,pos@1736900760.000.h5,4.9983466666666665
2025-01-14 19:27:00,pos@1736900820.000.h5,4.98696
2025-01-14 19:28:00,pos@1736900880.000.h5,4.9847133333333336
2025-01-14 19:29:00,pos@1736900940.000.h5,4.992413333333333
2025-01-14 19:30:00,pos@1736901000.000.h5,4.127106666666666
2025-01-14 19:31:00,pos@1736901060.000.h5,3.36858
2025-01-14 19:32:00,pos@1736901120.000.h5,4.989213333333334
2025-01-14 19:33:00,pos@1736901180.000.h5,4.986133333333333
2025-01-14 19:34:00,pos@1736901240.000.h5,4.992979999999999
2025-01-14 19:35:00,pos@1736901300.000.h5,4.98958
2025-01-14 19:36:00,pos@1736901360.000.h5,4.986093333333333
2025-01-14 19:37:00,pos@1736901420.000.h5,4.990806666666666
2025-01-14 19:38:00,pos@1736901480.000.h5,2.6338399999999997
2025-01-14 19:39:00,pos@1736901540.000.h5,4.855906666666667
2025-01-14 19:40:00,pos@1736901600.000.h5,4.98898
2025-01-14 19:41:00,pos@1736901660.000.h5,4.984913333333334
2025-01-14 19:42:00,pos@1736901720.000.h5,4.992993333333334
2025-01-14 19:43:00,pos@1736901780.000.h5,4.986093333333334
2025-01-14 19:44:00,pos@1736901840.000.h5,4.991573333333333
2025-01-14 19:45:00,pos@1736901900.000.h5,5.000686666666667
2025-01-14 19:46:00,pos@1736901960.000.h5,nan
2025-01-14 19:47:00,pos@1736902020.000.h5,4.983606666666667
2025-01-14 19:48:00,pos@1736902080.000.h5,4.9979933333333335
2025-01-14 19:49:00,pos@1736902140.000.h5,4.99352
2025-01-14 19:50:00,pos@1736902200.000.h5,4.992966666666667
2025-01-14 19:51:00,pos@1736902260.000.h5,4.996013333333334
2025-01-14 19:52:00,pos@1736902320.000.h5,4.99114
2025-01-14 19:53:00,pos@1736902380.000.h5,4.778733333333333
2025-01-14 19:54:00,pos@1736902440.000.h5,nan
2025-01-14 19:55:00,pos@1736902500.000.h5,4.991966666666667
2025-01-14 19:56:00,pos@1736902560.000.h5,4.9933266666666665
2025-01-14 19:57:00,pos@1736902620.000.h5,4.99004
2025-01-14 19:58:00,pos@1736902680.000.h5,4.99834
2025-01-14 19:59:00,pos@1736902740.000.h5,4.984253333333333
2025-01-14 20:00:00,pos@1736902800.000.h5,4.992473333333334
2025-01-14 20:01:00,pos@1736902860.000.h5,3.1552066666666665
2025-01-14 20:02:00,pos@1736902920.000.h5,4.339
2025-01-14 20:03:00,pos@1736902980.000.h5,4.991746666666667
2025-01-14 20:04:00,pos@1736903040.000.h5,4.989726666666667
2025-01-14 20:05:00,pos@1736903100.000.h5,4.986126666666667
2025-01-14 20:06:00,pos@1736903160.000.h5,4.98322
2025-01-14 20:07:00,pos@1736903220.000.h5,4.996146666666667
2025-01-14 20:08:00,pos@1736903280.000.h5,4.9893
2025-01-14 20:09:00,pos@1736903340.000.h5,2.49202
2025-01-14 20:10:00,pos@1736903400.000.h5,4.99156
2025-01-14 20:11:00,pos@1736903460.000.h5,4.99218
2025-01-14 20:12:00,pos@1736903520.000.h5,4.9864733333333335
2025-01-14 20:13:00,pos@1736903580.000.h5,4.986606666666667
2025-01-14 20:14:00,pos@1736903640.000.h5,4.988466666666667
2025-01-14 20:15:00,pos@1736903700.000.h5,4.991146666666666
2025-01-14 20:16:00,pos@1736903760.000.h5,4.99062
2025-01-14 20:17:00,pos@1736903820.000.h5,2.50304
2025-01-14 20:18:00,pos@1736903880.000.h5,4.992586666666666
2025-01-14 20:19:00,pos@1736903940.000.h5,4.986260000000001
2025-01-14 20:20:00,pos@1736904000.000.h5,4.99982
2025-01-14 20:21:00,pos@1736904060.000.h5,4.9964933333333335
2025-01-14 20:22:00,pos@1736904120.000.h5,4.99564
2025-01-14 20:23:00,pos@1736904180.000.h5,4.995166666666667
2025-01-14 20:24:00,pos@1736904240.000.h5,3.65958
2025-01-14 20:25:00,pos@1736904300.000.h5,3.828153333333333
2025-01-14 20:26:00,pos@1736904360.000.h5,4.972606666666667
2025-01-14 20:27:00,pos@1736904420.000.h5,4.982753333333333
2025-01-14 20:28:00,pos@1736904480.000.h5,4.990253333333333
2025-01-14 20:29:00,pos@1736904540.000.h5,4.994446666666667
2025-01-14 20:30:00,pos@1736904600.000.h5,4.999266666666666
2025-01-14 20:31:00,pos@1736904660.000.h5,4.98528
2025-01-14 20:32:00,pos@1736904720.000.h5,2.4317866666666665
2025-01-14 20:33:00,pos@1736904780.000.h5,5.04362
2025-01-14 20:34:00,pos@1736904840.000.h5,5.000446666666667
2025-01-14 20:35:00,pos@1736904900.000.h5,4.980426666666666
2025-01-14 20:36:00,pos@1736904960.000.h5,4.989520000000001
2025-01-14 20:37:00,pos@1736905020.000.h5,4.988193333333333
2025-01-14 20:38:00,pos@1736905080.000.h5,4.997506666666667
2025-01-14 20:39:00,pos@1736905140.000.h5,4.997206666666666
2025-01-14 20:40:00,pos@1736905200.000.h5,2.4900466666666667
2025-01-14 20:41:00,pos@1736905260.000.h5,4.979266666666667
2025-01-14 20:42:00,pos@1736905320.000.h5,4.990306666666667
2025-01-14 20:43:00,pos@1736905380.000.h5,5.00046
2025-01-14 20:44:00,pos@1736905440.000.h5,4.978213333333333
2025-01-14 20:45:00,pos@1736905500.000.h5,4.98134
2025-01-14 20:46:00,pos@1736905560.000.h5,4.9890799999999995
2025-01-14 20:47:00,pos@1736905620.000.h5,4.241146666666666
2025-01-14 20:48:00,pos@1736905680.000.h5,3.2509333333333332
2025-01-14 20:49:00,pos@1736905740.000.h5,4.987806666666668
2025-01-14 20:50:00,pos@1736905800.000.h5,4.995933333333333
2025-01-14 20:51:00,pos@1736905860.000.h5,4.978906666666667
2025-01-14 20:52:00,pos@1736905920.000.h5,5.001133333333334
2025-01-14 20:53:00,pos@1736905980.000.h5,4.993013333333333
2025-01-14 20:54:00,pos@1736906040.000.h5,4.983906666666667
2025-01-14 20:55:00,pos@1736906100.000.h5,2.748906666666667
2025-01-14 20:56:00,pos@1736906160.000.h5,4.742333333333334
2025-01-14 20:57:00,pos@1736906220.000.h5,4.98754
2025-01-14 20:58:00,pos@1736906280.000.h5,4.995886666666666
2025-01-14 20:59:00,pos@1736906340.000.h5,4.984
2025-01-14 21:00:00,pos@1736906400.000.h5,4.992046666666666
2025-01-14 21:01:00,pos@1736906460.000.h5,4.989373333333333
2025-01-14 21:02:00,pos@1736906520.000.h5,4.993593333333334
2025-01-14 21:03:00,pos@1736906580.000.h5,2.4906866666666665
2025-01-14 21:04:00,pos@1736906640.000.h5,4.991046666666667
2025-01-14 21:05:00,pos@1736906700.000.h5,4.99692
2025-01-14 21:06:00,pos@1736906760.000.h5,4.991006666666666
2025-01-14 21:07:00,pos@1736906820.000.h5,4.999906666666666
2025-01-14 21:08:00,pos@1736906880.000.h5,4.97678
2025-01-14 21:09:00,pos@1736906940.000.h5,4.992913333333334
2025-01-14 21:10:00,pos@1736907000.000.h5,4.981133333333334
2025-01-14 21:11:00,pos@1736907060.000.h5,2.501886666666667
2025-01-14 21:12:00,pos@1736907120.000.h5,4.987706666666666
2025-01-14 21:13:00,pos@1736907180.000.h5,4.99086
2025-01-14 21:14:00,pos@1736907240.000.h5,4.996126666666667
2025-01-14 21:15:00,pos@1736907300.000.h5,4.99258
2025-01-14 21:16:00,pos@1736907360.000.h5,4.995633333333333
2025-01-14 21:17:00,pos@1736907420.000.h5,4.994446666666667
2025-01-14 21:18:00,pos@1736907480.000.h5,3.2510600000000003
2025-01-14 21:19:00,pos@1736907540.000.h5,4.23454
2025-01-14 21:20:00,pos@1736907600.000.h5,4.989520000000001
2025-01-14 21:21:00,pos@1736907660.000.h5,4.9868
2025-01-14 21:22:00,pos@1736907720.000.h5,4.989693333333333
2025-01-14 21:23:00,pos@1736907780.000.h5,4.990773333333333
